公司名,工商注册级别,注册地址变更信息,增资情况,股权变动,控股,成立年限,注册专业人员信息,法定代表人稳定性,对外投资,所处行业地位,企业规模,工程获奖情况,公共信用记录,工程领域不良记录(严重),工程领域不良记录(一般),法院信用记录,中标数量,主要市场区域,项目规模,主项资质,增项资质,知识产权情况,财务,社会评价,信用评分
浙江鼎盛建筑工程有限公司,2,0,0,0,3,18,37,0,,0,3,0,0,0,5,0,49,0,5,3,4,2,0,9,517
浙江红叶园艺有限公司,2,0,0,0,3,19,29,0,1,0,2,2,0,0,0,0,46,0,3,2,5,1,0,5,644
浙江金华兴泰建工有限公司,3,0,0,0,3,0,19,0,,0,3,0,0,0,0,0,50,1,6,3,7,0,0,0,549
浙江五岳市政工程有限公司,2,0,0,0,3,12,23,0,,0,3,0,0,0,0,0,58,0,1,3,6,0,0,0,558
浙江永安消防有限公司,2,0,0,0,3,22,13,0,1,0,2,0,0,0,1,0,47,2,0,2,4,0,0,4,551
浙江新华建设有限公司,2,0,0,0,3,21,61,0,,0,2,13,0,0,3,0,52,1,22,2,7,4,0,23,694
浙江联谊建筑工程有限公司,2,0,0,0,3,23,27,0,1,0,3,0,0,0,1,0,48,3,3,3,3,0,0,6,549
浙江蓝天建设有限公司,2,0,0,0,3,17,23,0,,0,3,0,0,0,5,0,43,1,1,3,6,0,0,9,507
浙江富顺建设有限公司,2,0,0,0,3,18,24,0,,0,3,0,0,0,0,0,47,3,1,3,3,0,0,2,547
浙江人文园林有限公司,2,0,0,0,3,17,26,0,,0,2,10,0,0,0,0,49,0,4,2,4,0,0,10,667
浙江金卡实业有限公司,2,0,0,0,3,17,29,0,1,0,2,0,0,0,0,0,49,1,3,2,2,1,0,1,595
浙江自强建筑工程有限公司,2,0,0,0,3,13,25,0,1,0,3,0,0,0,1,0,43,3,3,3,2,0,0,1,524
浙江天池市政建设有限公司,2,0,0,0,3,13,10,0,,0,4,0,0,0,0,0,40,1,2,4,1,0,0,0,536
浙江伟业建设有限公司,2,0,0,0,3,12,42,0,,0,2,0,0,0,1,0,39,3,2,2,6,0,0,10,509
浙江吉安安装有限公司,3,0,0,0,3,19,23,0,2,0,2,1,0,0,2,0,38,2,0,2,5,0,0,2,535
浙江普宁市政工程有限公司,2,0,0,0,3,0,13,0,,0,3,0,0,0,0,0,42,1,5,3,1,0,0,0,526
浙江树人建设有限公司,2,0,0,0,0,0,21,0,,0,3,0,0,0,0,0,36,3,0,3,3,0,0,0,516
浙江宏图科技有限公司,2,0,0,0,3,17,23,0,,0,2,0,0,0,1,0,43,0,1,2,8,0,0,10,593
浙江正隆建设有限公司,2,0,0,0,3,13,21,0,,0,3,0,0,0,0,0,33,3,0,3,4,0,0,1,542
浙江群宇翔建设有限公司,2,0,0,0,0,0,20,0,,0,3,0,0,0,2,0,48,0,3,3,11,0,0,0,467
浙江东兴建设有限公司,2,0,0,0,3,20,45,0,,0,2,0,0,0,0,0,36,1,1,2,4,0,0,8,579
浙江环球建筑有限公司,2,0,0,0,3,22,18,0,,0,3,0,0,0,0,0,38,0,0,3,6,0,0,7,558
浙江大展建设有限公司,2,0,0,0,0,18,23,0,,0,3,0,0,0,0,0,40,0,4,3,3,0,0,0,532
浙江宏恩建设有限公司,2,0,0,0,3,21,13,0,,0,3,0,0,0,0,0,39,1,1,3,6,0,0,4,562
浙江展成路桥工程有限公司,2,0,0,0,3,22,0,0,,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,298
浙江同心建筑工程有限公司,2,0,0,0,3,17,28,0,,0,2,0,0,0,0,0,34,1,6,2,5,0,0,2,564
浙江宏亮建设有限公司,2,0,0,0,3,12,21,0,,0,2,0,0,0,2,0,31,3,0,2,2,0,0,6,497
浙江万盛建筑工程有限公司,2,0,0,0,0,0,17,0,,0,3,0,0,0,0,0,34,1,0,3,3,0,0,0,525
浙江启立建筑科技有限公司,2,0,0,0,0,0,33,0,,0,3,2,0,0,0,0,37,1,1,3,7,0,0,2,549
浙江山川建筑工程有限公司,2,0,0,0,2,12,25,0,,0,3,0,0,0,1,0,30,3,1,3,3,0,0,2,532
浙江至诚建设有限公司,2,0,0,0,3,0,22,0,,0,3,0,0,0,0,0,30,3,1,3,8,0,0,10,584
浙江中乐建设有限公司,2,0,0,0,3,17,62,0,,0,2,1,0,0,2,0,32,1,6,2,5,0,0,1,554
浙江山口建筑工程有限公司,2,0,0,0,3,20,42,0,,0,2,0,0,6,2,0,30,3,5,2,7,0,0,5,449
浙江巨轮建设有限公司,2,0,0,0,3,19,17,0,,0,3,0,0,0,0,0,35,3,1,3,2,0,0,1,518
浙江田野建设有限公司,2,0,0,0,3,14,19,0,,0,3,0,0,0,0,0,32,1,2,3,2,0,0,2,543
浙江南海建设有限公司,2,0,0,0,0,23,25,0,,0,3,0,0,0,1,0,30,0,3,3,7,0,0,0,522
浙江满庭芳园艺有限公司,2,0,0,0,3,13,0,0,,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,318
浙江盛誉建设有限公司,2,0,0,0,3,0,14,0,,0,4,0,0,0,1,0,35,1,0,4,1,0,0,2,521
浙江宝庆建设有限公司,2,0,0,0,0,15,31,0,,0,2,1,0,1,9,0,26,0,5,2,6,0,0,1,429
浙江方舟建设有限公司,2,0,0,0,3,26,21,0,,0,3,0,0,0,1,0,28,0,1,3,3,0,0,7,557
浙江春天建设有限公司,2,0,0,0,3,0,11,0,,0,3,0,0,0,1,0,27,2,6,3,2,2,0,8,550
浙江功业建设有限公司,2,0,0,0,3,11,19,0,,0,3,0,0,0,0,0,31,3,0,3,3,0,0,10,423
浙江泽国建设有限公司,2,0,0,0,3,22,30,0,1,0,3,2,0,0,11,0,35,1,14,3,9,0,0,10,509
浙江兴隆建设有限公司,2,0,0,0,3,16,0,0,3,0,0,0,0,0,0,0,24,3,0,0,0,0,0,10,354
浙江华纳建设有限公司,2,0,0,0,3,12,39,0,1,0,2,0,0,0,2,0,25,3,2,2,7,0,0,3,481
浙江星汉信息技术有限公司,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,24,0,2,0,0,0,0,0,288
浙江大业建筑工程有限公司,2,0,0,0,0,0,0,0,,0,0,0,0,7,1,0,24,3,0,0,0,0,0,0,188
浙江新豪城装饰有限公司,2,0,0,0,3,17,8,0,2,0,2,0,0,0,0,0,22,3,0,2,2,0,0,3,535
浙江三洋建设有限公司,2,0,0,0,0,22,14,0,,0,3,0,0,0,0,0,22,3,0,3,1,0,0,0,492
浙江中正建设有限公司,2,0,0,0,3,12,0,0,,0,0,0,0,0,1,0,22,2,0,0,0,0,0,0,283
浙江博达生态建设有限公司,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,22,1,1,0,0,0,0,0,303
浙江华氏建设有限公司,2,0,0,0,2,19,27,0,2,0,3,0,0,0,0,0,26,3,1,3,3,1,0,0,551
浙江国翔机电工程有限公司,2,0,0,0,3,14,9,0,,0,3,0,0,0,0,0,28,3,2,3,3,0,0,0,507
浙江方圆市政工程有限公司,2,0,0,0,3,20,17,0,,0,3,1,0,0,0,0,24,0,4,3,2,0,0,11,578
浙江鸿鹄建设有限公司,2,0,0,0,3,12,13,0,,0,2,0,0,0,1,0,21,3,0,2,6,0,0,10,544
浙江南越建设有限公司,2,0,0,0,3,19,30,0,2,0,2,0,0,0,0,0,21,0,6,2,4,0,0,2,553
浙江一通建设有限公司,2,0,0,0,3,13,13,0,,0,3,0,0,0,0,0,20,1,0,3,3,0,0,0,523
浙江恒山建设有限公司,2,0,0,0,3,11,23,0,,0,3,0,0,0,1,0,23,3,3,3,4,0,0,0,527
浙江万宇古建园林有限公司,2,0,0,0,3,17,6,0,,0,4,0,0,0,0,0,21,0,1,4,1,0,0,0,515
浙江中信建筑工程有限公司,2,0,0,0,3,33,26,0,,0,2,0,0,0,1,0,19,3,0,2,3,0,0,10,519
浙江上水建设有限公司,2,0,0,0,3,0,15,0,,0,4,0,0,0,0,0,22,3,3,4,2,0,0,0,516
浙江大地钢结构有限公司,2,0,0,0,1,23,23,0,,0,2,3,0,0,0,0,19,3,3,2,4,4,0,13,659
浙江立方建设有限公司,2,0,0,0,3,19,22,0,,0,3,1,0,0,4,0,20,3,1,3,6,0,0,9,503
浙江江南园林有限公司,2,0,0,0,3,15,17,0,,0,4,0,0,0,0,0,20,1,0,4,1,0,0,7,566
金牛城建集团有限公司,1,0,0,0,3,15,21,0,4,0,3,0,0,0,1,0,72,0,2,3,3,0,0,9,588
浙江迈新科技有限公司,2,0,0,0,3,18,0,0,,0,0,0,0,0,0,0,17,2,3,0,0,0,0,9,358
浙江天长建设有限公司,2,0,0,0,0,12,0,0,,0,0,0,0,0,0,0,17,3,1,0,0,0,0,0,298
浙江大壮建设有限公司,2,0,0,0,2,0,5,0,,0,4,0,0,0,0,0,17,3,0,4,1,0,0,0,512
浙江冠亚机电设备有限公司,2,0,0,0,3,12,0,0,,0,0,0,0,0,0,0,16,3,1,0,0,0,0,0,308
浙江声学工程设计有限公司,2,0,0,0,3,22,28,0,,0,3,1,0,0,0,0,27,1,2,3,6,0,0,5,602
浙江通联建设有限公司,2,0,0,0,3,17,25,0,,0,3,0,0,0,2,0,15,3,1,3,4,0,0,2,517
浙江主力建设有限公司,2,0,0,0,3,0,0,0,,0,0,0,0,0,1,0,15,3,0,0,0,0,0,0,278
